start	stop	from	from_ip	server	server_dist (km)	server_ping (ms)	download (Mbit/s)	upload (Mbit/s)	share_url
2018-03-20 18:00:01	2018-03-20 18:00:37	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.862	47.74	3.21	http://www.speedtest.net/result/7156885797.png
2018-03-20 18:30:01	2018-03-20 18:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	28.429	42.42	3.84	http://www.speedtest.net/result/7156970779.png
2018-03-20 19:00:01	2018-03-20 19:00:33	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.823	45.75	3.21	http://www.speedtest.net/result/7157052254.png
2018-03-20 19:30:01	2018-03-20 19:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	27.457	43.01	3.22	http://www.speedtest.net/result/7157131451.png
2018-03-20 20:00:01	2018-03-20 20:00:35	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	27.88	31.48	4.82	http://www.speedtest.net/result/7157206581.png
2018-03-20 20:30:02	2018-03-20 20:30:35	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	25.856	42.89	3.90	http://www.speedtest.net/result/7157278294.png
2018-03-20 21:00:02	2018-03-20 21:00:35	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	27.872	22.28	2.11	http://www.speedtest.net/result/7157346150.png
2018-03-20 21:30:01	2018-03-20 21:30:33	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	26.331	26.84	2.73	http://www.speedtest.net/result/7157409855.png
2018-03-20 22:00:01	2018-03-20 22:00:37	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	24.125	42.62	4.86	http://www.speedtest.net/result/7157469395.png
2018-03-20 22:30:01	2018-03-20 22:30:35	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.483	40.73	4.20	http://www.speedtest.net/result/7157524231.png
2018-03-20 19:00:01	2018-03-20 19:00:39	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.036	54.75	6.15	http://www.speedtest.net/result/7157576222.png
2018-03-20 19:03:54	2018-03-20 19:04:27	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	24.156	52.51	6.10	http://www.speedtest.net/result/7157583049.png
2018-03-20 19:30:01	2018-03-20 19:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	23.898	44.92	6.11	http://www.speedtest.net/result/7157626261.png
2018-03-20 20:00:01	2018-03-20 20:00:40	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	27.09	51.99	6.17	http://www.speedtest.net/result/7157673855.png
2018-03-20 20:30:01	2018-03-20 20:30:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	27.778	40.56	5.97	http://www.speedtest.net/result/7157720781.png
2018-03-20 21:00:01	2018-03-20 21:00:41	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	25.6	43.54	6.06	http://www.speedtest.net/result/7157767114.png
2018-03-20 21:30:01	2018-03-20 21:30:35	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	27.206	54.04	5.82	http://www.speedtest.net/result/7157813016.png
2018-03-20 22:00:01	2018-03-20 22:00:35	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.947	51.08	5.96	http://www.speedtest.net/result/7157858909.png
2018-03-20 22:30:01	2018-03-20 22:30:36	Comcast Cable	71.63.18.9	Shentel (Edinburg, VA)	38.99	30.542	28.47	5.90	http://www.speedtest.net/result/7157905310.png
